-37,-41
-41,-24
32,12
-39,-30
43,21
-7,-44
-12,6
-38,-13
14,-49
-15,-21
-7,47
23,27
-6,-34
38,0
-28,-10
48,-42
44,49
-9,-3
-8,-4
38,48
-17,-7
-20,12
-28,29
-23,-27
0,30
-17,23
31,17
19,-3
-17,-23
-8,44
-5,-49
28,18
20,-20
-42,5
-11,-17
36,-30
1,12
-19,-12
30,36
20,1
-26,-33
-25,-4
13,-20
-42,44
-31,44
-26,40
-49,-17
-46,-27
46,22
10,-20
-49,22
28,-39
-18,-34
-17,-35
11,-19
21,13
32,-12
15,-19
-29,-43
-44,32
36,-33
-36,-40
-16,-7
25,28
-5,-4
-40,-17
-20,-5
7,43
-29,32
-21,45
16,9
-40,13
26,-42
-49,28
-45,44
-22,-9
-13,33
-18,46
45,29
-28,23
-40,-49
-24,2
-23,-33
14,-5
15,-40
-25,-3
-13,26
29,7
26,26
43,-13
16,34
45,24
17,17
24,13
-7,-30
-16,-15
17,-36
43,10
-32,-48
6,9
